Crew	Level	Craft cost	Uncommon Prime Directive	Basic Casing	Basic Power Cell	Basic Emitter Crystal	Basic Expansion Module	Basic Clothing Pattern	Common Clothing Pattern	Basic Bajoran Phaser	Common Database	Uncommon Database	Common Raktajino	Common Encoded Communique	Common Criminal Activity Report	Uncommon Covert Contacts	Uncommon Clothing Pattern	Basic Polyalloy	Common Polyalloy	Basic Identification Code	Basic Security Reports	Basic Case Files	Uncommon Bajoran PADD	Basic Synthesized Polymer	Basic Alcohol	Common Alcohol	Uncommon Alcohol	Basic Text Book	Common Case Files	Rare Alcohol	Uncommon Spring Wine	Common Orb Experience	Uncommon Security Codes	Basic Optronic Circuit	Common Optronic Circuit	Basic Subprocessor	Basic First Contact Protocol	Basic Holoprogram	Common Ancient Film	Common Holoprogram	Basic Optronic Data Core	Uncommon Polyalloy	Rare Polyalloy	Basic Desktop Monitor	Common Subprocessor	Uncommon Subprocessor	Basic Authorization Code	Common Identification Code	Rare Furs	Basic Database	Uncommon Authorization Code	Common Novel	Rare Database	Super Rare Database	Basic Translation Algorithm	Uncommon Encoded Communique	Uncommon Ancient Film	Super Rare Spices	Uncommon Casing	Rare Casing	Super Rare Clothing Pattern	Common Synthesized Polymer	Uncommon Synthesized Polymer	Basic Isolinear Chips	Uncommon Expansion Module	Super Rare Alcohol	Basic Coffee	Basic Writing PADD	Uncommon Novel	Basic Ancient Film	Common Interlink	Basic Tricorder	Basic Alpha-wave Inducer	Basic Science Experiment	Basic Submicron Scanner	Basic Detronal Scanner	Common Neutron Microscope	Basic TR-580 Medical Tricorder	Common Science Experiment	Common Power Cell	Basic Bone-Knitting Laser	Common Furs	Common Medical Experiment	Basic Scalpel	Basic Autosuture	Common Emitter Crystal	Basic Cortical Stimulator	Common Scalpel	Common Isolinear Chips	Basic Dermal Regenerator	Uncommon Interlink	Basic Hypospray	Common Casing	Common Sensor	Uncommon Sensor	Uncommon Science Experiment	Rare Interlink	Rare Clothing Pattern	Uncommon Isolinear Chips	Basic Writing PADD	Uncommon Medical Experiment	Basic Medical Experiment	Basic Orchids	Rare Isolinear Chips	Common Expansion Module	Super Rare Microconnector	Basic Cortical Monitor	Super Rare Interlink	Basic Physiostimulator	Basic Gravimetric Scanner	Basic Tricorder Mark VII	Basic Writing PADD	Uncommon Furs	Basic Phaser Type 2	Basic Hoverball	Common Spices	Uncommon Spices	Common Gold-Pressed Latinum	Basic Isomodulator	Common Astrometric Chart	Uncommon Astrometric Chart	Basic Sensor	Basic Parametric Scanner	Rare Incense	Rare Gold-Pressed Latinum	Rare Power Cell	Rare Relay	Basic Interphasic Scanner	Rare Subprocessor	Uncommon Relay	Super Rare Synthesized Polymer	Basic TR-590 Tricorder X	Uncommon Bajoran Earring	Uncommon Emitter Crystal	Common Phaser Type 1	Uncommon Phaser Type 1	Rare Synthesized Polymer	Uncommon Raktajino	Common Poker Cards	Uncommon Combadge	Basic Casino Chip	Rare Microconnector	Super Rare Polyalloy	Basic Phaser Type 2	Uncommon Writing PADD	Uncommon Holoprogram	Common Security Codes	Basic Phaser Type 3	Common Authorization Code	Uncommon Tactical Alert	Uncommon Field Rations	Super Rare Casing	Rare Spices	Super Rare Gold-Pressed Latinum	Common Coffee	Basic Isolinear Rod	Basic Starfleet Uniform Pattern	Basic Furs	Basic Combadge	Basic Desktop Monitor	Basic Palm Beacon	Basic Darts	Basic Magnasite-Nitron Tablet	Basic Photon Grenade	Uncommon Microconnector	Super Rare Furs	Basic Micro-Optic Drill	Common Toolbox	Uncommon Scalpel	Basic Hyperspanner	Basic ODN Recoupler	Uncommon Incense	Uncommon Earl Grey Tea	Basic Quantum Chronometer	Uncommon Backpack	Common Microconnector	Basic Neurocortical Monitor	Basic Interlink	Basic Relay	Common Relay	Basic Microconnector	Rare Expansion Module	Basic Subcutaneous Transponder	Rare Sensor	Super Rare Sensor	Basic Phaser Type 2	Basic Encoded Communique	Basic Maquis Security Outfit	Basic Maquis Emblem	Common Maquis Pistol	Common Maquis Emblem	Basic Maquis Command Outfit	Super Rare Isolinear Chips	Basic Incense	Basic Earl Grey Tea	Common 3d Chess Set	Common IDIC	Common Vulcan Meditation Lamp	Uncommon Vulcan Meditation Lamp	Uncommon Power Cell	Rare Emitter Crystal	Uncommon Maquis Pistol	Uncommon IDIC	Basic Communicator	Basic Security Codes	Common Prime Directive	Basic Stun Grenade	Uncommon Optronic Circuit	Basic Interphasic Coil Spanner	Common Self-sealing Stem Bolt	Basic Duotronic Probe	Basic Gravitic Caliper	Common Desealing Rod	Basic Hyperspanner	Basic EPI Capacitor	Basic EJ-7 Interlock	Uncommon Orb Experience	Common Cardassian Encryption Algorithm	Basic Emergency Transponder	Uncommon Cardassian Communicator	Common Cardassian Disruptor Pistol	Common Resistance Cipher	Basic Bajoran Earring	Basic Cardassian Disruptor Pistol	Common Central Command Insignia	Super Rare Emitter Crystal	Uncommon Central Command Insignia	Common Incense	Super Rare Incense	Basic Bajoran PADD	Common Vedek Robes	Uncommon Vedek Robes	Common Bajoran Combadge	Common D'k tahg	Uncommon Klingon Warnog	Uncommon Klingon Armor	Common Agonizer	Common KCA Icon	Uncommon Klingon House Crest	Basic Gagh	Uncommon KCA Icon	Basic Agonizer	Uncommon Bloodwine	Common Gagh	Basic Klingon Baldric	Basic Bloodwine	Common Klingon House Crest	Common Klingon Disruptor Pistol	Common Bat'leth	Basic Klingon Armor	Common Klingon Armor	Basic Klingon Warnog	Uncommon Agonizer	Common Bloodwine	Common Terran Emblem	Basic Mek'leth	Common Starfleet Uniform Pattern	Common Klingon Disruptor Rifle	Uncommon Starfleet Uniform Pattern	Rare Starfleet Uniform Pattern	Super Rare Power Cell	Rare Optronic Circuit	Super Rare Optronic Circuit	Super Rare Subprocessor	Super Rare Relay	Basic Decoupler	Basic Combadge	Uncommon Pattern Enhancer	Super Rare Starfleet Uniform Pattern	Basic Communicator	Basic Spices	Common Writing PADD	Basic Spectral Micrometer	Basic Quantum Oscillator	Basic Radiation Collector	Basic Kurlan Naiskos	Basic Translator	Basic Phaser Type 2	Basic Desktop Monitor	Basic Wrench	Basic Plasma Torch	Basic Micro-Resonator	Basic Laser Scalpel	Basic Flux Coupler	Basic Gold-Pressed Latinum	Basic Starfleet Uniform	Uncommon Gold-Pressed Latinum	Basic Hand Scanner	Common Klingon Warnog	Basic Sonic Driver	Basic Imperial Guard Emblem	Common Andorian Ale	Common Terran Knife	Uncommon Terran Knife	Basic Poisoned Drink	Uncommon Terran Emblem	Uncommon Gagh	Basic Kadis-Kot	Common Tactical Alert	Uncommon Ferengi PADD	Common Phase Pistol	Basic Quantum Flux Regulator	Basic Writing PADD	Basic Vulcan Robes	Basic Medical Scanner	Basic Heavy Scanner	Uncommon Great Material Continuum Texts	Super Rare Expansion Module	Common Field Rations	Basic Variable Field Damper	Uncommon Multidimensional Transporter Device	Common Backpack	Basic Hirogen Hunter Armor	Common Hirogen Hunter Armor	Common Hirogen Alpha Mark	Common Hirogen Tetryon Rifle	Basic Transporter Control Module	Common Hirogen Relic	Basic Compression Rifle	Basic Kazon Furs	Basic Kazon Name	Uncommon Hirogen Scanner	Uncommon Dominion Seal	Common Covert Contacts	Basic Laser Beacon	Common Tulaberry Wine	Basic Dominion PADD	Uncommon Ketracel-white	Basic Dominion Seal	Basic Phaser Type 1	Basic Cardassian Communicator	Common Cardassian PADD	Basic Phaser Type 3	Common Terran Slave Emblem	Uncommon Virtual Display Device	Uncommon Star Empire Icon	Uncommon Romulan Ale	Basic Romulan Encryption Algorithm	Common Romulan Disruptor	Uncommon Romulan Encryption Algorithm	Basic Romulan Ale	Uncommon Jem'Hadar Scanner	Basic Jem'Hadar Knife	Common Jem'Hadar Knife	Common Kazon Disruptor Pistol	Basic Pattern Enhancer	Basic Prime Directive	Basic Klingon Disruptor Pistol	Basic Phaser Type 3	Common Rules of Acquisition	Common Tube Grubs	Basic Tube Grubs	Uncommon Rules of Acquisition	Common Great Material Continuum Texts	Uncommon Tube Grubs	Uncommon Slug-o-Cola	Uncommon Latinum Tooth Sharpener	Common Boy Scout Badge	Basic Romulan Disruptor	Uncommon Kanar	Uncommon Augment Icon	Basic Ceti Eel	Basic Rules of Acquisition	Basic Poker Cards	Common Earl Grey Tea	Basic Starfleet Uniform	Basic Graviton Emitter	Basic Medical Scanner	Uncommon Andorian Rifle	Basic Heavy Duty Tricorder
Fesek	1	511850	0	48	26	0	24	100	0	0	22	4	0	1	0	0	0	0	12	0	0	0	0	0	10	4	0	1	0	0	0	0	0	6	6	13	12	11	11	2	2	20	0	8	4	0	0	0	0	14	0	1	4	0	0	0	1	0	24	8	0	0	0	0	5	0	2	1	0	1	6	0	0	0	34	0	0	0	0	14	0	0	0	0	0	4	0	0	0	0	0	0	8	2	0	0	0	8	2	0	0	0	0	0	14	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	9	0	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	4	2	6	0	7	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	17	2	1	12	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobile Doctor	20	967550	0	76	24	0	0	8	0	0	46	48	0	0	0	0	0	0	12	0	0	0	0	0	44	16	0	1	0	0	0	0	0	24	16	24	16	10	2	12	12	0	0	0	0	0	0	0	0	62	0	5	7	6	0	0	2	0	16	2	0	9	0	16	0	0	4	7	3	2	12	0	0	36	0	0	0	38	0	12	0	0	0	0	0	0	0	0	32	13	0	105	14	2	0	1	0	0	32	13	2	13	20	12	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	24	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	14	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	24	8	0	14	4	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Virtuoso Doctor	1	652550	0	58	28	2	0	36	27	0	22	29	0	0	0	0	24	36	36	0	0	0	0	0	17	14	2	1	0	0	0	0	0	62	20	22	24	16	2	6	7	0	12	0	4	16	4	2	0	55	0	5	11	4	0	0	2	0	2	0	4	16	4	5	1	0	0	2	0	12	12	0	1	4	16	0	0	22	0	34	0	0	0	0	8	0	0	0	8	16	0	10	32	4	0	1	0	16	40	6	0	6	14	4	0	0	0	3	0	0	6	0	24	0	0	0	0	0	0	0	0	31	1	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	40	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lieutenant Arex Na Eth	10	549450	2	11	2	9	0	18	16	0	23	19	0	0	0	0	10	0	0	0	1	0	0	0	2	4	1	0	0	0	0	0	2	2	2	12	6	5	0	0	0	0	0	0	4	1	2	5	0	24	2	2	13	1	0	0	0	0	0	4	0	4	4	0	0	0	0	0	0	0	0	14	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	8	4	1	3	0	6	4	33	0	0	0	0	0	0	0	0	0	2	0	0	0	3	26	0	0	8	0	4	4	8	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	202	0	0	8	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	10	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yarnek	1	857000	0	30	6	36	0	2	2	0	64	31	0	0	0	0	0	20	6	0	1	0	0	20	8	8	2	3	2	0	0	0	0	18	8	10	15	27	1	0	0	0	12	0	6	1	6	10	2	149	0	3	7	4	0	0	1	0	0	0	0	12	22	0	0	0	0	3	10	0	0	20	25	46	0	0	4	6	2	12	0	21	7	12	0	0	0	2	0	3	0	8	10	4	20	14	0	0	0	8	4	8	28	0	0	0	0	0	0	36	0	0	6	0	0	0	0	0	0	8	1	57	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	7	2	2	0	0	76	0	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lal	1	538900	0	36	9	20	28	52	48	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	35	20	4	3	0	2	0	0	0	0	0	34	8	6	0	0	0	0	0	0	10	14	9	0	0	105	0	2	2	0	4	2	0	0	36	4	0	0	0	14	0	0	6	5	5	3	26	0	13	14	20	0	2	0	1	20	0	0	2	0	0	0	0	1	9	0	4	0	6	0	0	0	6	9	0	0	0	0	0	0	6	0	0	0	0	0	8	0	0	0	0	4	2	0	0	0	0	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	12	12	0	0	0	0	0	0	38	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	34	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Captain Kurn	50	310100	0	26	0	0	0	6	3	0	0	3	0	0	0	0	3	0	12	0	0	0	0	0	0	0	7	0	0	4	0	0	6	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	4	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	10	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	5	0	0	4	7	0	0	7	0	0	8	11	6	4	1	0	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mirror Vic Fontaine	1	555050	0	48	38	60	10	30	0	0	2	0	0	0	1	4	10	0	0	16	2	1	0	0	38	20	8	0	2	4	0	0	7	6	2	4	3	4	1	0	0	8	6	2	0	0	1	0	0	12	0	1	0	0	8	8	0	0	0	20	2	0	0	0	4	0	2	2	0	0	0	0	0	4	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	16	0	0	0	0	0	4	28	0	0	0	18	0	6	2	0	26	0	26	0	0	0	0	16	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	11	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	2	6	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	14	4	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Miral Torres	1	489800	0	128	0	0	0	2	0	0	0	0	0	1	0	2	0	0	35	0	0	0	0	0	4	0	12	9	0	10	0	0	4	2	0	8	14	2	0	0	0	0	12	0	8	2	4	4	0	55	0	3	0	0	16	4	0	0	10	10	2	0	4	9	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	16	0	0	0	0	0	0	16	0	0	0	38	0	0	0	0	0	4	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	3	1	0	0	0	4	0	2	0	0	0	0	8	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	2	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	11	0	0	5	30	0	0	2	3	0	6	28	2	10	1	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seven in Blue	1	116850	0	4	0	0	3	60	0	0	0	2	0	2	0	0	0	38	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	3	0	1	0	1	0	0	10	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	10	4	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	28	2	2	8	2	0	0	0	0	4	0	1	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	1	0	45	20	3	18	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mademoiselle de Neuf	1	755200	0	78	8	0	5	118	24	0	17	6	0	15	0	11	26	92	10	0	0	0	0	0	18	14	0	0	0	0	0	0	4	20	6	6	21	23	19	10	3	4	4	0	4	4	0	3	0	0	0	2	2	0	20	5	5	0	34	4	0	14	0	0	0	0	6	14	0	11	5	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	12	0	2	0	22	66	5	0	1	10	0	0	0	0	28	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	14	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	7	0	0	1	0	26	26	0	0	0	0	17	0	116	28	0	108	1	0	2	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	13	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsunkatse Seven	80	229000	0	0	0	0	14	4	0	0	4	9	1	0	4	0	0	9	14	0	3	3	0	0	0	0	0	0	5	0	0	0	1	0	2	14	0	0	0	0	0	0	2	14	5	4	0	0	0	0	1	0	4	0	0	1	0	0	0	8	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	10	2	1	10	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seven in Silver	70	509250	0	2	1	0	2	24	12	0	4	6	1	2	2	0	0	54	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	27	4	0	2	2	0	2	0	0	0	0	2	0	0	0	0	0	0	9	4	8	0	3	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	8	46	4	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	1	0	0	0	0	0	10	0	2	10	0	20	0	0	0	0	8	0	0	0	0	2	1	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	8	0	86	24	12	68	0	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
