Name	Have	Short name	Max rarity	Rarity	Level	Immortal	Equipment	Tier	In portal	Collections	Voyage rank	Gauntlet rank	Command core	Command min	Command max	Diplomacy core	Diplomacy min	Diplomacy max	Engineering core	Engineering min	Engineering max	Medicine core	Medicine min	Medicine max	Science core	Science min	Science max	Security core	Security min	Security max	Traits	Action name	Boosts	Amount	Initialize	Duration	Cooldown	Bonus Ability	Trigger	Uses per Battle	Handicap Type	Handicap Amount	Accuracy	Crit Bonus	Crit Rating	Evasion	Charge Phases
Losira	TRUE	Losira	2	2	100	1	0 1 2 3	10	TRUE	Uncommon Crew	890	890	294	26	99	0	0	0	180	13	33	0	0	0	0	0	0	363	78	215	["Hologram","Kalandan","Brutal","nonhuman","female","tos","losira","crew_max_rarity_2"]	I Am For You	Attack	2	8	10	10	+700 to Crit Rating	None				300	200	100	375	
Admiral Owen Paris	TRUE	Owen	4	4	100	1	0 1 2 3	8	TRUE		473	89	862	284	607	0	0	0	0	0	0	0	0	0	435	60	167	472	238	508	["Human","Starfleet","Federation","Desperate","Resourceful","Pilot","male","organic","voy","admiral","bridge_crew","owen","crew_max_rarity_4"]	Project Voyager Is Just Beginning	Evasion	8	4	8	8				Attack	2	515	150	90	400	
Duelist Barclay	TRUE	Barclay	3	3	100	1	0 1 2 3	4	TRUE	The Daystrom Award, Rare Crew	828	867	0	0	0	0	0	0	571	55	164	0	0	0	218	37	107	413	51	103	["Human","Starfleet","Federation","Innovator","Duelist","male","organic","tng","lieutenant","barclay","crew_max_rarity_3"]	Self-Taught	Evasion	3	0	10	10	+10000 to Crit Bonus	Position				590		104	565	After 4s +undefined to Crit Bonus; After 8s +undefined to Crit Bonus
Hologram Barclay	TRUE	Barclay	4	4	100	1	0 1 2 3	9	TRUE	The Daystrom Award	779	766	0	0	0	0	0	0	773	193	431	0	0	0	712	59	128	0	0	0	["Hologram","Starfleet","Federation","Innovator","Astrophysicist","male","nonhuman","artificial_life","voy","barclay","crew_max_rarity_4"]	Problem Solver	Accuracy	7	12	10	12						590	100	135	415	
Protomorphosis Barclay	TRUE	Barclay	5	5	100	0	0 1 2 3	5	TRUE	The Daystrom Award	149	442	0	0	0	0	0	0	1305	49	128	0	0	0	1356	263	512	566	116	233	["Starfleet","Federation","Innovator","Astrophysicist","Desperate","Primal","male","organic","tng","lieutenant","barclay","crew_max_rarity_5"]	Viral Attack	Attack	8	10	12	10						575	300	70	225	
Commander Barclay	TRUE	Barclay	4	4	100	1	0 1 2 3	5	TRUE	The Daystrom Award, Holodeck Enthusiasts	572	562	860	147	364	0	0	0	701	93	309	0	0	0	414	73	162	0	0	0	["Starfleet","Innovator","Communicator","Quantum Mechanics","Human","Federation","male","organic","voy","commander","barclay","crew_max_rarity_4"]	To The Journey	Evasion	6	4	8	10	Immediately repairs Hulls by 10%	None				465	200	210	375	After 4s Immediately repairs Hulls by 15%; After 8s Immediately repairs Hulls by 25%
Queen Po	TRUE	Po	5	5	100	0	0 1 2 3	3	TRUE	Spit and Bailing Wire, The Daystrom Award	68	350	628	73	188	1095	151	304	1522	210	487	0	0	0	0	0	0	0	0	0	["Jury Rigger","Prodigy","Cultural Figure","Xahean","Innovator","Royalty","Resourceful","Spiritual","nonhuman","female","dsc","po","crew_max_rarity_5"]	Is That Spumoni?	Evasion	8	10	10	12	+20% to Attack Speed	None				240	50	112	625	
Runaway Po	TRUE	Po	4	4	100	1	0 1 2 3	2	TRUE	Spit and Bailing Wire, The Daystrom Award	437	429	0	0	0	780	160	329	952	148	332	0	0	0	426	107	234	0	0	0	["Jury Rigger","Prodigy","Cultural Figure","Xahean","Innovator","Resourceful","nonhuman","female","dsc","po","crew_max_rarity_4"]	Be Extraordinary	Evasion	8	8	6	8						290	295	105	300	
Mirror Sisko	TRUE	Sisko	4	4	100	1	0 1 2 3	9	TRUE	Smoke and Mirrors	792	627	566	80	203	0	0	0	0	0	0	0	0	0	0	0	0	675	256	518	["Human","Scoundrel","Romantic","Tactician","Terran Rebellion","Mirror Universe","male","organic","ds9","captain","bridge_crew","mirror","sisko","crew_max_rarity_4"]	Privateer's Attack	Attack	7	12	12	12	+1000 to Crit Rating	Boarding				450	575	238	475	
Promoted Sisko	TRUE	Sisko	2	2	100	1	0 1 2 3	6	TRUE	New Life and New Civilizations, To Boldly Go, Uncommon Crew	876	881	402	37	96	187	29	93	0	0	0	0	0	0	0	0	0	314	62	175	["Human","Federation","Starfleet","Bajoran","Cultural Figure","Inspiring","Diplomat","Caregiver","Chef","male","organic","ds9","captain","bridge_crew","sisko","crew_max_rarity_2"]	Deserved Promotion	Attack	3	6	10	10						215	80	30	240	
Dr. Hippocrates Noah	TRUE	Hippocrates	4	4	100	1	0 1 2 3	4	TRUE	Do No Harm, Our Man Bashir	589	398	0	0	0	406	93	197	0	0	0	657	119	398	783	175	376	0	0	0	["Hologram","Villain","Crafty","Communicator","Prodigy","Resourceful","male","ds9","noah","sisko","crew_max_rarity_4"]	Demolish the House	Accuracy	5	3	4	16	Immediately deals 100% damage	None				300	90	103	365	After 8s Immediately deals 200% damage; After 16s Immediately deals 250% damage
Gabriel Bell	TRUE	Sisko	4	4	100	1	0 1 2 3	6	TRUE		487	211	677	172	400	937	115	302	0	0	0	0	0	0	0	0	0	258	208	393	["Human","Federation","Starfleet","Bajoran","Cultural Figure","Hero","Costumed","Chef","male","organic","ds9","captain","bridge_crew","sisko","crew_max_rarity_4"]	Think Again	Accuracy	6	10	8	12	+10000 to Crit Bonus	Position				395	90	50	480	
Niners Sisko	TRUE	Sisko	5	2	70	0		7	TRUE	To Boldly Go, Play Ball!	417	738	444	66	172	0	0	0	0	0	0	0	0	0	0	0	0	369	41	112	["Human","Federation","Bajoran","Cultural Figure","Starfleet","Athlete","Inspiring","Desperate","male","organic","ds9","captain","bridge_crew","sisko","niners","crew_max_rarity_5"]	Hey Batter!	Accuracy	8	14	10	12	+1000 to Crit Rating	None				450	245	122	480	
Solar Sails Sisko	TRUE	Sisko	5	1	100	0	0 1 2 3	5	TRUE	New Life and New Civilizations, To Boldly Go	176	298	361	81	169	0	0	0	974	166	461	0	0	0	528	175	427	0	0	0	["Human","Federation","Starfleet","Bajoran","Cultural Figure","Inspiring","Caregiver","Chef","Diplomat","Resourceful","Explorer","male","organic","ds9","captain","bridge_crew","sisko","crew_max_rarity_5"]	Time For A Change	Evasion	10	8	10	10						600	300	120	300	
High Roller Sisko	TRUE	Sisko	5	5	100	0	0 1 2 3	3	TRUE		60	349	1135	139	305	542	147	305	0	0	0	0	0	0	0	0	0	1578	148	374	["Human","Federation","Starfleet","Bajoran","Cultural Figure","Gambler","Thief","Crafty","male","organic","ds9","captain","bridge_crew","sisko","crew_max_rarity_5"]	Let It Ride!	Accuracy	9	12	3	12	+1100 to Crit Rating	Position				380	170	130	400	
Sous-chef Sisko	TRUE	Sisko	3	3	100	1	0 1 2 3	4	TRUE	New Life and New Civilizations, To Boldly Go, Rare Crew	850	868	0	0	0	626	53	150	0	0	0	371	97	213	0	0	0	0	0	0	["Human","Diplomat","Musician","Bajoran","Cultural Figure","Inspiring","Chef","male","organic","ds9","captain","bridge_crew","sisko","crew_max_rarity_3"]	Let's Go Home!	Accuracy	5	5	8	11						100	185	162	380	
Jodmos	TRUE	Sisko	4	4	100	1	0 1 2 3	2	TRUE	New Life and New Civilizations, To Boldly Go	480	582	404	103	205	666	119	311	0	0	0	0	0	0	0	0	0	1061	106	269	["Klingon","Undercover Operative","Human","Federation","Starfleet","Bajoran","Cultural Figure","Inspiring","Diplomat","Crafty","male","organic","ds9","captain","bridge_crew","sisko","crew_max_rarity_4"]	Now We Celebrate!	Evasion	8	10	10	12						195	225	90	455	
Captain Thadiun Okona	TRUE	Okona	5	1	100	0	0 1 2 3	6	TRUE	Spit and Bailing Wire	147	45	0	0	0	803	302	600	567	181	588	0	0	0	0	0	0	239	114	254	["Romantic","Civilian","Jury Rigger","Scoundrel","Smuggler","organic","tng","okona","nonhuman","crew_max_rarity_5"]	I Can Take Care Of Myself	Attack	8	10	5	12	+10000 to Crit Bonus	Position				625	305	70	325	
Commander Dolim	TRUE	Dolim	4	4	100	1	0 1 2 3	9	TRUE	Delphic Expanse	776	607	662	184	461	0	0	0	0	0	0	0	0	0	0	0	0	688	140	291	["Xindi","Brutal","Villain","Tactician","Interrogator","nonhuman","male","organic","ent","dolim","commander","crew_max_rarity_4"]	At the Tip of My Blade	Accuracy	5	12	10	12	Immediately deals 350% damage	Position				385	545	107	1250	
Maquis Chakotay	TRUE	Chakotay	1	1	100	1	0 1 2 3	10	TRUE	Common Crew	936	861	205	63	228	0	0	0	0	0	0	0	0	0	0	0	0	160	63	181	["Human","Maquis","Hunter","Tactician","Survivalist","Smuggler","male","organic","voy","bridge_crew","captain","chakotay","crew_max_rarity_1"]	Outlaw's Speed	Attack	1	6	8	10	Increase bonus boost by +2	Position				140	180	45	230	
Commander Chakotay	TRUE	Chakotay	2	2	100	1	0 1 2 3	8	TRUE	Uncommon Crew	880	825	323	71	207	191	46	98	0	0	0	0	0	0	0	0	0	283	67	158	["Human","Starfleet","Federation","Hunter","Tactician","Survivalist","Maquis","male","organic","voy","bridge_crew","commander","first_officer","chakotay","crew_max_rarity_2"]	Ancient Traditions	Accuracy	4	3	10	5			2			180	115	177	115	
GI Chakotay	TRUE	Chakotay	4	2	10	0		10	TRUE		633	144	81	16	33	33	7	14	0	0	0	0	0	0	0	0	0	61	13	25	["Human","Starfleet","Federation","Hunter","Tactician","Survivalist","Costumed","Maquis","male","organic","voy","bridge_crew","commander","first_officer","chakotay","crew_max_rarity_4"]	Gung Ho	Attack	6	12	12	12	+20% to Attack Speed	None				765	185	10	850	
Boxer Chakotay	TRUE	Chakotay	3	3	100	1	0 1 2 3	4	TRUE	Rare Crew	816	922	313	27	66	382	20	52	0	0	0	0	0	0	0	0	0	647	75	121	["Human","Starfleet","Federation","Hunter","Duelist","Athlete","Costumed","Maquis","male","organic","voy","bridge_crew","commander","first_officer","chakotay","crew_max_rarity_3"]	The Maquis Mauler	Attack	4	14	10	14	Increase bonus boost by +2	Position		Accuracy	2	90	265	97	575	
Warship Chakotay	TRUE	Chakotay	4	4	100	1	0 1 2 3	9	TRUE	Valor in Combat	767	465	465	194	468	0	0	0	0	0	0	0	0	0	0	0	0	843	198	402	["Human","Starfleet","Federation","Hunter","Veteran","Brutal","Villain","Hologram","Maquis","male","organic","voy","bridge_crew","commander","first_officer","chakotay","crew_max_rarity_4"]	All Out War	Attack	7	6	8	12						640	195	60	500	
Temporal Prisoner Chakotay	TRUE	Chakotay	5	2	100	0	0 1 2 3	6	TRUE		239	657	0	0	0	0	0	0	785	78	229	432	11	59	0	0	0	930	154	476	["Human","Desperate","Federation","Marksman","Saboteur","Resourceful","Prisoner","male","organic","voy","bridge_crew","chakotay","crew_max_rarity_5"]	Timeline Triage	Accuracy	7	8	6	12	+15% to Attack Speed	None				780	230	80	190	
Disguised Chakotay	TRUE	Chakotay	4	4	100	1	0 1 2 3	8	TRUE		450	397	622	190	411	549	19	35	0	0	0	0	0	0	0	0	0	900	231	474	["Human","Starfleet","Federation","Costumed","Undercover Operative","Hunter","Maquis","male","organic","voy","bridge_crew","commander","first_officer","chakotay","crew_max_rarity_4"]	Time Displaced	Evasion	9	6	10	10				Accuracy	2	500	225	160	400	
Resolute Chakotay	TRUE	Chakotay	4	4	100	1	0 1 2 3	8	TRUE		499	649	718	81	227	1009	120	255	0	0	0	0	0	0	0	0	0	432	102	217	["Human","Starfleet","Federation","Survivalist","Hunter","Maquis","male","organic","voy","bridge_crew","commander","first_officer","chakotay","crew_max_rarity_4"]	Increasing Our Chances of Survival	Accuracy	7	8	8	10						500	200	50	325	
Torchbearer Voq	TRUE	Voq	4	4	100	1	0 1 2 3	3	TRUE	To Boldly Go	434	287	557	218	515	956	172	358	0	0	0	0	0	0	0	0	0	582	61	151	["Klingon","Cultural Figure","Torchbearer","Desperate","Inspiring","nonhuman","male","tyler","voq","organic","dsc","crew_max_rarity_4"]	Demonstration of Faith	Accuracy	7	12	5	12	Immediately deals 200% damage	None				935	150	214	190	
Pining Vina	TRUE	Vina	5	2	100	0	0 1 2 3	4	TRUE	New Life and New Civilizations	106	103	0	0	0	1061	254	515	0	0	0	492	209	471	327	120	244	0	0	0	["Human","Civilian","Romantic","Desperate","Diplomat","organic","female","dsc","vina","crew_max_rarity_5"]	Who Are You?	Accuracy	7	10	5	10	+25% to Attack Speed	None				350	210	158	425	
Rigel VII Vina	TRUE	Vina	4	1	10	0		10	TRUE		663	634	0	0	0	76	32	59	0	0	0	0	0	0	0	0	0	57	13	25	["Human","Costumed","Desperate","Romantic","female","organic","tos","vina","crew_max_rarity_4"]	We Must Hide Ourselves	Evasion	7	8	8	12						415	115	275	325	
Doctor Chaotica	TRUE	Chaotica	5	4	20	0		8	TRUE	Bride Of Chaotica	421	271	202	25	56	0	0	0	0	0	0	0	0	0	215	20	49	0	0	0	["Human","Hologram","Scoundrel","Villain","Crafty","Brutal","male","nonhuman","voy","crew_max_rarity_5"]	Fire Death Ray	Evasion	9	12	4	12	Immediately deals 400% damage	None	2			300	305	405	550	
Ensign Kim	TRUE	Kim	1	1	100	1	0 1 2 3	10	TRUE	Common Crew	959	961	0	0	0	0	0	0	290	32	112	0	0	0	0	0	0	0	0	0	["Starfleet","Federation","Human","Musician","male","organic","voy","ensign","bridge_crew","kim","crew_max_rarity_1"]	Starfleet Training	Attack	2	8	10	12				Accuracy	1	130	25	28	170	
Hockey Kim	TRUE	Kim	3	3	100	1	0 1 2 3	6	TRUE	Rare Crew	825	807	224	52	136	0	0	0	515	95	222	0	0	0	0	0	0	377	54	146	["Starfleet","Federation","Human","Athlete","Costumed","Musician","male","organic","voy","ensign","bridge_crew","kim","crew_max_rarity_3"]	One-Timer	Evasion	4	6	4	10	Immediately deals 200% damage	Position				455	170	107	730	
Rogue Harry Kim	TRUE	Kim	4	4	100	1	0 1 2 3	8	TRUE	The Daystrom Award	677	503	0	0	0	0	0	0	361	107	260	0	0	0	726	150	348	585	116	248	["Federation","Human","Warp Theorist","Desperate","Innovator","Musician","male","organic","voy","kim","crew_max_rarity_4"]	Timing is Everything	Attack	6	8	10	16	Shield regeneration +2000	None				1150	1215	290	700	
Buster Kincaid Kim	TRUE	Kim	4	4	100	1	0 1 2 3	7	TRUE	Bride Of Chaotica	560	499	0	0	0	0	0	0	639	119	279	0	0	0	430	73	162	892	197	409	["Starfleet","Federation","Human","Hero","Costumed","male","organic","voy","kim","crew_max_rarity_4"]	We're Going Down!	Evasion	7	14	10	18	Immediately repairs Hulls by 15%	None				550	200	60	425	
Taresian Kim	TRUE	Kim	4	4	100	1	0 1 2 3	9	TRUE		568	413	353	89	251	891	180	365	0	0	0	0	0	0	0	0	0	636	129	320	["Federation","Human","Starfleet","Musician","Taresian","Prisoner","Romantic","male","organic","voy","kim","captain","crew_max_rarity_4"]	Stay Out Of My Way!	Evasion	9	8	8	6						475	50	70	565	
Rifle Janeway	TRUE	Janeway	3	3	100	1	0 1 2 3	5	TRUE	Rare Crew	835	870	577	40	103	0	0	0	0	0	0	0	0	0	166	43	149	409	45	132	["Human","Federation","Starfleet","Resourceful","Gambler","female","organic","voy","captain","bridge_crew","janeway","crew_max_rarity_3"]	Front Line Action	Attack	5	8	12	12							410	110	190	
Captain Janeway	TRUE	Janeway	4	4	100	1	0 1 2 3	3	TRUE		628	741	826	120	295	612	84	241	0	0	0	0	0	0	551	38	82	0	0	0	["Human","Federation","Starfleet","Resourceful","Gambler","female","organic","voy","captain","bridge_crew","janeway","crew_max_rarity_4"]	Never Abandon	Accuracy	8	6	6	10				Shield Regeneration	800	300	275	90	390	
Warship Janeway	TRUE	Janeway	4	4	100	1	0 1 2 3	8	TRUE		569	208	705	177	394	0	0	0	0	0	0	0	0	0	470	124	270	577	208	430	["Human","Federation","Starfleet","Hologram","Villain","Brutal","female","organic","voy","captain","bridge_crew","janeway","crew_max_rarity_4"]	This is what You Wanted.	Accuracy	6	14	10	14	Increase bonus boost by +3	Position				605	545	255	825	
Admiral Janeway	TRUE	Janeway	5	1	100	0	0 1 2 3	8	TRUE		308	192	409	95	205	0	0	0	0	0	0	0	0	0	457	133	261	673	309	636	["Human","Federation","Starfleet","Resourceful","female","organic","voy","admiral","bridge_crew","janeway","crew_max_rarity_5"]	I Outrank You	Evasion	9	1	10	12						1770	670	125	425	
Kathryn Janeway	TRUE	Janeway	2	2	100	1	0 1 2 3	6	TRUE	Uncommon Crew	883	891	381	60	156	170	32	67	0	0	0	0	0	0	314	29	116	0	0	0	["Human","Federation","Starfleet","Resourceful","Gambler","female","organic","voy","captain","bridge_crew","janeway","crew_max_rarity_2"]	There's Coffee In That Nebula!	Accuracy	5	3	10	10						165	10	10	375	
Klingon Janeway	TRUE	Janeway	5	1	20	0		4	TRUE	Valor in Combat	250	542	56	19	35	0	0	0	0	0	0	0	0	0	108	19	38	147	51	53	["Klingon","Human","Brutal","Duelist","Veteran","Survivalist","nonhuman","female","organic","voy","janeway","crew_max_rarity_5"]	Power Is Not Enough	Accuracy	8	4	10	16	+10000 to Crit Bonus	None				425	190	190	515	
Mirror Janeway	TRUE	Janeway	4	4	100	1	0 1 2 3	5	TRUE	Valor in Combat, Timelines' Originals, Smoke and Mirrors	561	544	736	103	269	379	52	124	0	0	0	0	0	0	0	0	0	860	208	421	["Human","Brutal","Resourceful","Hunter","Saboteur","Veteran","Smuggler","Mirror Universe","Terran Empire","female","organic","mirror","voy","captain","bridge_crew","janeway","original","crew_max_rarity_4"]	Take No Prisoners	Attack	7	12	12	14	+20% to Attack Speed	None				475	80	265	500	
Evolved Janeway	TRUE	Janeway	5	1	100	0	0 1 2 3	4	FALSE		96	212	0	0	0	989	236	470	0	0	0	0	0	0	607	166	355	293	115	250	["Starfleet","Federation","Primal","Desperate","Romantic","Evolved","Human","nonhuman","female","organic","voy","captain","bridge_crew","janeway","crew_max_rarity_5"]	The First Transwarp Flight	Attack	8	8	8	12	+1800 to Crit Rating	Cloak				100	100	128	300	
Determined Janeway	TRUE	Janeway	5	5	100	0	0 1 2 3	3	TRUE	Spit and Bailing Wire, Valor in Combat	87	399	570	120	197	0	0	0	1532	195	422	0	0	0	0	0	0	1151	144	285	["Starfleet","Survivalist","Federation","Jury Rigger","Resourceful","Tactician","Veteran","Desperate","Human","female","organic","voy","captain","bridge_crew","janeway","crew_max_rarity_5"]	I Don't Respond Well To Threats	Attack	6	10	8	16	Immediately repairs Hulls by 20%	None				230	235	125	300	
Vice Admiral Janeway	TRUE	Janeway	5	3	100	0	0 1 2 3	3	TRUE	Valor in Combat	128	596	1202	93	331	0	0	0	839	95	182	0	0	0	422	116	278	0	0	0	["Veteran","Starfleet","Federation","Human","Resourceful","Survivalist","Gambler","Tactician","Maverick","female","organic","voy","admiral","janeway","crew_max_rarity_5"]	Let's Get Started	Attack	9	10	6	6						525	350	115	425	
Dr. Tolian Soran	TRUE	Soran	4	4	100	1	0 1 2 3	9	TRUE	The Daystrom Award	765	668	0	0	0	0	0	0	631	114	277	0	0	0	832	198	393	0	0	0	["Civilian","Empath","Quantum Mechanics","Innovator","Desperate","El-Aurian","Villain","male","organic","tng","soran","crew_max_rarity_4"]	Appointment With Eternity	Attack	6	12	12	12	+20% to Attack Speed	None				690	325	275	250	
Arik Soong	TRUE	Arik	4	4	100	1	0 1 2 3	9	TRUE		673	472	246	193	412	0	0	0	0	0	0	584	65	137	842	134	312	0	0	0	["Human","Thief","Geneticist","Maverick","Civilian","male","organic","ent","arik","crew_max_rarity_4"]	Genetic Tampering	Evasion	6	12	12	12	+20% to Attack Speed	None				575	195	283	490	
Grathon Tolar	TRUE	Tolar	4	4	100	1	0 1 2 3	4	TRUE		508	710	480	32	82	0	0	0	1044	131	262	0	0	0	672	125	288	0	0	0	["Criminal","Desperate","Crafty","Prisoner","male","nonhuman","organic","ds9","tolar","crew_max_rarity_4"]	It Will Pass. You'll See. It Will Pass.	Accuracy	9	8	8	10			2			340		158	300	
Borg Queen	TRUE	Borg Queen	5	1	100	0	0 1 2 3	5	TRUE	Resistance Is Futile	142	439	971	257	571	511	118	211	505	32	93	0	0	0	0	0	0	0	0	0	["Borg","Brutal","Cultural Figure","Resourceful","Interrogator","Communicator","Survivalist","nonhuman","female","organic","borg_queen","crew_max_rarity_5"]	We are Borg	Attack	8	10	3	14	Immediately deals 325% damage	Position				515	200	157	300	
Nurse Kes	TRUE	Kes	2	2	100	1	0 1 2 3	2	TRUE	Uncommon Crew	915	904	0	0	0	283	50	137	0	0	0	357	57	173	0	0	0	0	0	0	["Ocampa","Civilian","Nurse","Prodigy","nonhuman","female","organic","voy","kes","crew_max_rarity_2"]	No Time Like Present	Evasion	3	6	10	10						275	50		275	
Temporal Shift Kes	TRUE	Kes	3	3	100	1	0 1 2 3	2	TRUE	Rare Crew	851	754	0	0	0	0	0	0	0	0	0	530	82	288	310	149	319	0	0	0	["Ocampa","Civilian","Botanist","Prodigy","Telepath","Nurse","nonhuman","female","organic","voy","kes","crew_max_rarity_3"]	Your Past, My Future	Evasion	4	10	12	16	+10000 to Crit Bonus	None				425	100	165	370	
Tieran Possessed Kes	TRUE	Kes	4	4	100	0	0 1 2 3	3	TRUE		577	795	1084	38	123	0	0	0	0	0	0	604	95	271	0	0	0	483	62	150	["Ocampa","Romantic","Civilian","Telepath","Interrogator","Brutal","Villain","nonhuman","female","organic","voy","kes","crew_max_rarity_4"]	Stronger Than Ever!	Attack	7	4	8	8						275	100	68	450	
Fury Kes	TRUE	Kes	5	1	100	0	0 1 2 3	3	TRUE		158	20	0	0	0	0	0	0	0	0	0	475	152	507	280	138	280	751	367	825	["Ocampa","Civilian","Telepath","Botanist","Telekinetic","Prodigy","Brutal","nonhuman","female","organic","voy","kes","crew_max_rarity_5"]	You Abandoned Me	Attack	10	6	6	10	Immediately deals 400% damage	None	2	Evasion	3	200	200	118	515	
Betrothed Kamala	TRUE	Kamala	2	2	100	1	0 1 2 3	2	TRUE	Uncommon Crew	891	903	269	31	97	417	49	119	0	0	0	0	0	0	168	31	92	0	0	0	["Kriosian","Empath","Romantic","organic","tng","female","nonhuman","kamala","crew_max_rarity_2"]	I Am for You	Evasion	2	6	3	10	Immediately deals 150% damage	None				390	130	115	530	
Colonel Karr	TRUE	Karr	4	2	10	0		9	TRUE	Valor in Combat	721	400	83	16	33	0	0	0	34	7	14	0	0	0	0	0	0	63	13	25	["Hirogen","Resourceful","Veteran","Marksman","Tactician","Costumed","male","organic","voy","crew_max_rarity_4"]	Now and After Death	Attack	8	6	6	10				Evasion	2	1400	745	655		
Ahdar Ru'afo	TRUE	Ru'afo	5	5	100	0	0 1 2 3	6	TRUE		236	339	871	211	505	0	0	0	1580	79	259	0	0	0	587	123	247	0	0	0	["Son'a","Brutal","Villain","Survivalist","Resourceful","male","nonhuman","organic","tng","ruafo","crew_max_rarity_5"]	Not Joining Us For Dinner	Attack	6	10	5	14	+30% to Attack Speed	None				585	125	160	450	
Recovering Spock	TRUE	Spock	2	2	100	1	0 1 2 3	6	TRUE	Live Long and Prosper, Uncommon Crew	886	784	135	44	180	185	76	249	0	0	0	0	0	0	385	46	155	0	0	0	["Federation","Starfleet","Civilian","Exobiology","Astrophysicist","Human","Musician","Vulcan","Telepath","nonhuman","male","organic","tos","captain","bridge_crew","first_officer","spock","spock_tos","crew_max_rarity_2"]	Live Long and Prosper	Evasion	3	6	10	10	Shield regeneration +650	None	2			325		25	140	
Mirror Spock	TRUE	Spock	5	2	100	0	0 1 2 3	7	TRUE	Live Long and Prosper, Smoke and Mirrors	344	190	423	173	408	213	82	179	0	0	0	0	0	0	806	240	545	0	0	0	["Terran Empire","Starfleet","Exobiology","Astrophysicist","Human","Vulcan","Telepath","Mirror Universe","nonhuman","male","organic","tos","commander","bridge_crew","first_officer","mirror","spock","spock_tos","crew_max_rarity_5"]	Empire's Logic	Accuracy	9	1	10	12						840	245	312	725	
Ambassador Spock	TRUE	Spock	4	4	100	1	0 1 2 3	7	TRUE	Live Long and Prosper, New Life and New Civilizations	624	186	0	0	0	652	253	505	0	0	0	0	0	0	703	115	284	269	140	340	["Federation","Starfleet","Civilian","Exobiology","Musician","Astrophysicist","Human","Vulcan","Diplomat","Telepath","Ambassador","nonhuman","male","organic","tos","bridge_crew","first_officer","spock","spock_tos","crew_max_rarity_4"]	Cowboy Diplomacy	Attack	6	12	12	12	+15000 to Crit Bonus	Cloak				400	355	153	1850	
Kal-if-fee Spock	TRUE	Spock	4	4	100	1	0 1 2 3	6	TRUE	Live Long and Prosper	650	635	385	89	259	0	0	0	0	0	0	0	0	0	695	67	140	784	162	324	["Federation","Starfleet","Human","Vulcan","Exobiology","Astrophysicist","Duelist","Musician","Telepath","nonhuman","male","organic","tos","bridge_crew","first_officer","spock","spock_tos","crew_max_rarity_4"]	My Heart is Flame	Attack	6	12	5	12	Immediately deals 200% damage	None				15	340	451		
Talos IV Spock	TRUE	Spock	3	3	100	1	0 1 2 3	6	TRUE	Live Long and Prosper, Rare Crew	801	814	475	42	159	0	0	0	0	0	0	0	0	0	206	33	116	596	112	227	["Federation","Starfleet","Exobiology","Astrophysicist","Human","Vulcan","Telepath","Musician","nonhuman","male","organic","tos","commander","bridge_crew","first_officer","spock","spock_tos","crew_max_rarity_3"]	We've Lost The Captain	Attack	5	10	8	8						690	10	105	450	
Kolinahr Spock	TRUE	Spock	5	1	10	0		7	TRUE	Live Long and Prosper	246	244	85	19	38	105	25	52	0	0	0	0	0	0	46	9	20	0	0	0	["Federation","Civilian","Exobiology","Musician","Astrophysicist","Human","Vulcan","Telepath","Spiritual","nonhuman","male","organic","tos","spock","spock_tos","crew_max_rarity_5"]	Infinite Diversity	Evasion	6	5	12	8	+1500 to Crit Rating	None	2			400	235	127	525	
Captain Spock	TRUE	Spock	5	5	100	0	0 1 2 3	6	TRUE	Live Long and Prosper	195	159	1217	286	653	551	116	238	0	0	0	0	0	0	1189	114	255	0	0	0	["Starfleet","Federation","Exobiology","Musician","Astrophysicist","Human","Vulcan","Telepath","Special Envoy","nonhuman","male","organic","tos","spock","captain","spock_tos","crew_max_rarity_5"]	Logic Is The Beginning Of Wisdom	Evasion	7	8	10	12	Increase bonus boost by +4	Position				415	150	127	300	
Mountaineer Spock	TRUE	Spock	5	3	100	0	0 1 2 3	4	TRUE	Live Long and Prosper	108	361	856	82	240	0	0	0	492	39	116	0	0	0	1010	279	646	0	0	0	["Starfleet","Federation","Exobiology","Musician","Astrophysicist","Human","Vulcan","Telepath","Casual","Pilot","nonhuman","male","organic","tos","spock","captain","spock_tos","crew_max_rarity_5"]	Concentration is Vital	Attack	8	4	10	16	+10000 to Crit Bonus	None				365	50	100	525	
Fugitive Spock	TRUE	Spock	4	4	100	0	0 1 2 3	1	TRUE	Live Long and Prosper	496	625	0	0	0	428	76	153	0	0	0	0	0	0	1027	145	287	693	133	266	["Starfleet","Federation","Exobiology","Artist","Astrophysicist","Human","Vulcan","Telepath","nonhuman","male","organic","dsc","spock","spock_dsc","crew_max_rarity_4"]	We Are Riding Into Danger	Evasion	6	10	12	12	+20% to Attack Speed	None				425	220	73	350	
Gladiator Spock	TRUE	Spock	5	1	100	0	0 1 2 3	3	TRUE	Live Long and Prosper	129	593	0	0	0	322	95	190	0	0	0	0	0	0	755	50	110	1041	217	446	["Starfleet","Federation","Exobiology","Musician","Astrophysicist","Human","Vulcan","Telepath","Prisoner","Duelist","Athlete","nonhuman","male","organic","tos","spock","spock_tos","crew_max_rarity_5"]	I Am Well Able To Defeat You	Accuracy	8	10	10	14	+1250 to Crit Rating	None				440	320	5	300	
